Start,End,BoredSleepy,Contempt,Sadness,Joy,Love,Anger,TenseStress,Fear,Surprise
5633,5760,0,0,0,0,0,0,0,0,0
5761,5888,0,0,0,0,0,0,0,0,0
5889,6016,0,0,0,0,0.0407647031196745,0,0,0,0
6017,6144,0,0,0.406464583796884,0,0,0,0,0,0
6145,6272,0,0,0,0,0,0,0,0,0
6273,6400,0,0,0,0,0.658959753391085,0,0,0,0
6401,6528,0,0,0,0,0,0,0,0,0
6529,6656,0,0,0,0,0,0,0,0,0
6657,6784,0,0,0,0,0.529847526465956,0,0,0,0
6785,6912,0,0,0,0,0,0,0,0,0
6913,7040,0,0,0,0,0,0,0,0,0
7041,7168,0,0,0,0,0,0,0,0,0
7169,7296,0,0,0,0,0,0,0,0,0
7297,7424,0,0,0,0,0,0,0,0,0
7425,7552,0.472764375490781,0,0.231576155613867,0,0,0,0,0,0
7553,7680,0.000784874439696178,0,0,0,0,0,0,0,0
7681,7808,0,0,0,0,1,0,0,0,0
7809,7936,0,0,0,0,0,0,0,0,0
7937,8064,0.303900841397124,0,0.272074368952157,0,0,0,0,0,0
8065,8192,0,0,0,0,0,0,0,0,0
8193,8320,0,0,0,0,0,0,0,0,0
8321,8448,0,0,0,0,0,0,0,0,0
8449,8576,0,0,0,0,0,0,0,0,0
8577,8704,0,0,0,0,0.21155546591237,0,0,0,0
8705,8832,0,0,0.417802349888673,0,0,0,0,0,0
8833,8960,0,0,0,0,0,0,0,0,0
8961,9088,0,0,0,0,0,0,0,0,0
9089,9216,0,0,0,0,0,0,0,0,0
9217,9344,0,0,0,0,0,0,0,0,0
9345,9472,0,0,0,0,0,0,0,0,0
9473,9600,0,0,0,0,0,0,0,0,0
9601,9728,0,0.950913016407353,0,0,0,0,0,0,0
9729,9856,0,0,0,0,0,0,0,0,0
9857,9984,0,0,0.16574766061116,0,0,0,0,0,0
9985,10112,0,0,0,0,0,0,0,0,0
10113,10240,0,0,0,0,0,0,0,0,0
10241,10368,0,0,0,0,0,0,0,0,0
10369,10496,0.229136770099187,0,0.598020958451055,0,0,0,0,0,0
10497,10624,0,0,0,0,0,0,0,0,0
10625,10752,0,0,0,0,0,0,0,0,0
10753,10880,0,0,0,0,0.504945549715558,0,0,0,0
10881,11008,0,0,0,0,0,0,0,0,0
11009,11136,0,0,0,0,0,0,0,0,0
11137,11264,0,0,0,0,0,0,0,0,0
11265,11392,0,0,0,0,0,0,0,0,0
11393,11520,0.428597334965492,0,0.178551998775881,0,0,0,0,0,0
11521,11648,0,0,0,0,0,0,0,0,0
11649,11776,0,0,0,0,0.677708686906667,0,0,0,0
11777,11904,0.478016738315769,0,0.464217293235342,0,0,0,0,0,0
11905,12032,0,0,0,0,0,0,0,0,0
12033,12160,0,0,0,0,0,0,0,0,0
12161,12288,0,0,0,0,0,0,0,0,0
12289,12416,0,0,0.435155235500933,0,0,0,0,0,0
12417,12544,0,0,0,0,0,0,0,0,0
12545,12672,0,0,0,0,0,0,0,0,0
12673,12800,0,0,0,0,0,0,0,0,0
12801,12928,0,0,0,0,0,0,0,0,0
12929,13056,0,0,0,0,0,0,0,0,0
13057,13184,0,0,0,0,0,0,0,0,0
13185,13312,0,0,0,0,0,0,0,0,0
13313,13440,0,0,0,0,0,0,0,0,0
13441,13568,0,0,0,0,0.974794476397681,0,0,0,0
13569,13696,0,0,0,0,0,0,0,0,0
13697,13824,0,0,0,0,0.0100998529855463,0,0,0,0
13825,13952,0,0,0,0,0,0,0,0,0
13953,14080,0,0,0.508531658834442,0,0,0,0,0,0
14081,14208,0,0,0,0,0,0,0,0,0
14209,14336,0,0,0,0,0,0,0,0,0
14337,14464,0,0,0,0,0,0,0,0,0
14465,14592,0,0,0,0,0,0,0,0,0
14593,14720,0,0,0,0,0,0,0,0,0
14721,14848,0,0,0,0,0,0,0,0,0
14849,14976,0,0,0,0,0,0,0,0,0
14977,15104,0,0,0,0,0,0,0,0,0
15105,15232,0,0,0,0,0,0,0,0,0
15233,15360,0,0,0,0,0,0,0,0,0
15361,15488,0,0,0,0,0,0,0,0,0
15489,15616,0,0,0,0,0,0,0,0,0
15617,15744,0,0,0,0,0,0,0,0,0
15745,15872,0,0,0,0,0,0,0,0,0
15873,16000,0.00525374050165469,0,0,0,0,0,0,0,0
16001,16128,0,0,0,0,0,0,0,0,0
16129,16256,0,0,0,0,0,0,0,0,0
16257,16384,0,0,0,0,0,0,0,0,0
16385,16512,0,0,0,0,0,0,0,0,0
16513,16640,0,0,0.492774830156705,0,0,0,0,0,0
16641,16768,0,0,0,0,0,0,0,0,0
16769,16896,0,0,0,0,0,0,0,0,0
16897,17024,0,0,0.416251153200363,0,0,0,0,0,0
17025,17152,0,0,0,0,0,0,0,0,0
17153,17280,0,0,0.231217938667934,0,0,0,0,0,0
17281,17408,0,0,0.576050754721755,0,0,0,0,0,0
17409,17536,0,0,0,0,0,0,0,0,0
17537,17664,0,0,0,0,0,0,0,0,0
17665,17792,0,0,0,0,0,0,0,0,0
17793,17920,0,0,0,0,0,0,0,0,0
17921,18048,0,0,0,0,0,0,0,0,0
18049,18176,0,0,0.857415426830912,0,0,0,0,0,0
18177,18304,0,0,0,0,0,0,0,0,0
