Start,End,BoredSleepy,Contempt,Sadness,Joy,Love,Anger,TenseStress,Fear,Surprise
10497,10624,0.397997659667262,0,0,0,0,0,0,0,0
10625,10752,0.614875424122927,0,0,0,0,0,0,0,0
10753,10880,0.270485716163519,0,0,0,0,0,0,0,0
10881,11008,0.270226205430534,0,0,0,0,0,0,0,0
11009,11136,0.399962612984214,0,0,0,0,0,0,0,0
11137,11264,0.373771466737621,0,0,0,0,0,0,0,0
11265,11392,0.594082784176474,0,0,0,0,0,0,0,0
11393,11520,0.460754625112264,0,0,0,0,0,0,0,0
11521,11648,0.6119460203953,0,0,0,0,0,0,0,0
11649,11776,0.528251071265855,0,0,0,0,0,0,0,0
11777,11904,0.409277797246683,0,0,0,0,0,0,0,0
11905,12032,0.401679732195591,0,0,0,0,0,0,0,0
12033,12160,0.33726435024265,0,0,0,0,0,0,0,0
12161,12288,0.449136135822335,0,0,0,0,0,0,0,0
12289,12416,0.284874006016875,0,0,0,0,0,0,0,0
12417,12544,0.345282849354769,0,0,0,0,0,0,0,0
12545,12672,0.517291832098256,0,0,0,0,0,0,0,0
12673,12800,0.497456930931484,0,0,0,0,0,0,0,0
12801,12928,0.34124556851474,0,0,0,0,0,0,0,0
12929,13056,0.874382050946712,0,0,0,0,0,0,0,0
13057,13184,0.325589390152141,0,0,0,0,0,0,0,0
13185,13312,0.310597258702412,0,0,0,0,0,0,0,0
13313,13440,0.367759388602214,0,0,0,0,0,0,0,0
13441,13568,0.577149136839913,0,0,0,0,0,0,0,0
13569,13696,0.319658072013298,0,0,0,0,0,0,0,0
13697,13824,0.454180778539157,0,0,0,0,0,0,0,0
13825,13952,0.640617737860148,0,0,0,0,0,0,0,0
13953,14080,0.291640800880348,0,0,0,0,0,0,0,0
14081,14208,0,0.360329422983239,0,0,0,0,0,0,0
14209,14336,0,0.25473326940337,0,0,0,0,0,0,0
14337,14464,0.6185619176185,0,0,0,0,0,0,0,0
14465,14592,0.422190038650908,0,0,0,0,0,0,0,0
14593,14720,0.15545695607429,0,0,0,0,0,0,0,0
14721,14848,0.42620969728901,0,0,0,0,0,0,0,0
14849,14976,0.442889732432124,0,0,0,0,0,0,0,0
14977,15104,0.611916067454293,0,0,0,0,0,0,0,0
15105,15232,0.367569761598173,0,0,0,0,0,0,0,0
15233,15360,0.547691207497678,0,0,0,0,0,0,0,0
15361,15488,0.299053092663858,0,0,0,0,0,0,0,0
15489,15616,0.495679122845536,0,0,0,0,0,0,0,0
15617,15744,0.426668339615364,0,0,0,0,0,0,0,0
15745,15872,0.546825155644766,0,0,0,0,0,0,0,0
15873,16000,0.422471559322045,0,0,0,0,0,0,0,0
