Start,End,BoredSleepy,Contempt,Sadness,Joy,Love,Anger,TenseStress,Fear,Surprise
20481,20608,0,0,0,0,0,0,0,0,0
20609,20736,0.595601001673156,0,0,0,0,0,0,0,0
20737,20864,0,0,0,0,0,0,0,0,0
20865,20992,0,0,0,0,0,0,0,0,0
20993,21120,0.403741137710109,0,0.197194146717418,0,0,0,0,0,0
21121,21248,0.584607807342961,0,0.0437935203336423,0,0,0,0,0,0
21249,21376,0,0,0,0,0,0,0,0,0
21377,21504,1,0,0,0,0,0,0,0,0
21505,21632,0.704468717365915,0,0,0,0,0,0,0,0
21633,21760,0,0,0,0,0,0,0,0,0
21761,21888,0,0,0,0,0,0,0,0,0
21889,22016,0,0,0,0,0,0,0,0,0
22017,22144,0.144543958425674,0,0,0,0,0,0,0,0
22145,22272,0,0,0,0,0,0,0,0,0
22273,22400,0.648138975245889,0,0,0,0,0,0,0,0
22401,22528,0.0734646254820596,0,0,0,0,0,0,0,0
22529,22656,0.753954283779764,0,0,0,0,0,0,0,0
22657,22784,0,0,0,0,0,0,0,0,0
22785,22912,0,0,0,0,0,0,0,0,0
22913,23040,0.683842525265131,0,0,0,0,0,0,0,0
23041,23168,0.583849099495826,0,0,0,0,0,0,0,0
23169,23296,0,0,0,0,0,0,0,0,0
23297,23424,0.269839310385054,0,0.29762051721121,0,0,0,0,0,0
23425,23552,0,0,0.751982879160999,0,0,0,0,0,0
23553,23680,0,0,0,0,0,0,0,0,0
23681,23808,0,0,0,0,0,0,0,0,0
23809,23936,0,0,0,0,0,0,0,0,0
23937,24064,0,0,0.833592976587062,0,0,0,0,0,0
24065,24192,0.328071800571418,0,0,0,0,0,0,0,0
24193,24320,0.90401280686416,0,0,0,0,0,0,0,0
24321,24448,0,0,0,0,0,0,0,0,0
24449,24576,0,0,0,0,0,0,0,0,0
24577,24704,0.600462884356814,0,0.0496528367323895,0,0,0,0,0,0
24705,24832,0.478202153250957,0,0,0,0,0,0,0,0
24833,24960,0,0,0,0,0,0,0,0,0
24961,25088,0,0,0,0,0,0,0,0,0
25089,25216,0.780924094719502,0,0,0,0,0,0,0,0
25217,25344,0,0,0.406850331916369,0,0,0,0,0,0
25345,25472,0,0,0,0,0,0,0,0,0
25473,25600,0.148700295438237,0,0,0,0,0,0,0,0
25601,25728,0,0,0,0,0,0,0,0,0
25729,25856,0.353173895588632,0,0,0,0,0,0,0,0
25857,25984,0.446036294759794,0,0,0,0,0,0,0,0
25985,26112,0,0,0,0,0,0,0,0,0
26113,26240,0,0,0,0,0,0,0,0,0
26241,26368,0,0,0,0,0,0,0,0,0
26369,26496,0,0,0,0,0,0,0,0,0
26497,26624,0,0,0.55400950067525,0,0,0,0,0,0
26625,26752,0,0,0,0,0,0,0,0,0
26753,26880,0,0,0,0,0,0,0,0,0
26881,27008,0.627873767175336,0,0,0,0,0,0,0,0
27009,27136,0,0,0,0,0,0,0,0,0
27137,27264,0.263952236738588,0,0.105357298448002,0,0,0,0,0,0
27265,27392,0,0,0,0,0,0,0,0,0
27393,27520,0.690602527321537,0,0,0,0,0,0,0,0
27521,27648,0.144786266985719,0,0,0,0,0,0,0,0
27649,27776,0,0,0,0,0,0,0,0,0
27777,27904,0.0794183172490045,0,0.0794183172490045,0,0,0,0,0,0
27905,28032,0,0,0,0,0,0,0,0,0
28033,28160,0.528481660054372,0,0.00570322939117157,0,0,0,0,0,0
28161,28288,0.163228525392576,0,0,0,0,0,0,0,0
28289,28416,0.0251654056426979,0,0,0,0,0,0,0,0
28417,28544,0,0,0,0,0,0,0,0,0
28545,28672,0,0,0,0,0,0,0,0,0
28673,28800,0,0,0,0,0,0,0,0,0
28801,28928,0.63417266555611,0,0.0243705008329179,0,0,0,0,0,0
28929,29056,0,0,0,0,0,0,0,0,0
29057,29184,0,0,0,0,0,0,0,0,0
29185,29312,0.112714618722897,0,0,0,0,0,0,0,0
29313,29440,1,0,0,0,0,0,0,0,0
29441,29568,1,0,0,0,0,0,0,0,0
29569,29696,0,0,0,0,0,0,0,0,0
